Concept,Feature,WB_Label,BR_Label,Prod_Freq,Rank_PF,Sum_PF_No_Tax,CPF
anchor,used_for_holding_boats_still,function,function,11,4,11,1
anchor,inbeh_-_sinks,entity_behavior,encyclopaedic,8,5,8,1
anchor,used_for_staying_stationary,function,function,8,5,8,1
anchor,found_in_water,location,encyclopaedic,7,7,7,1
anchor,made_of_iron,made_of,visual-form_and_surface,7,7,21,3
anchor,is_attached_to_chains,associated_entity,encyclopaedic,6,9,6,1
anchor,is_large,external_surface_property,visual-form_and_surface,6,9,1076,106
anchor,used_on_boats,associated_entity,encyclopaedic,6,9,6,1
anchor,an_inanimate,superordinate,taxonomic,5,12,,1
anchor,is_attached_to_ropes,associated_entity,encyclopaedic,5,12,5,1
anchor,used_by_sailors,participant,function,5,12,5,1
ant,an_insect,superordinate,taxonomic,18,1,,12
ant,is_small,external_surface_property,visual-form_and_surface,18,1,1229,121
ant,is_black,external_surface_property,visual-colour,15,3,607,50
ant,lives_in_ground,location,encyclopaedic,12,4,64,5
ant,is_strong,systemic_property,encyclopaedic,11,5,73,8
ant,is_red,external_surface_property,visual-colour,9,6,382,26
ant,lives_in_a_hill,location,encyclopaedic,9,6,9,1
ant,lives_in_a_colony,larger_whole,encyclopaedic,8,8,8,1
ant,has_6_legs,external_component,visual-form_and_surface,6,9,16,3
ant,beh_-_bites,entity_behavior,visual-motion,5,10,33,4
ant,beh_-_crawls,entity_behavior,visual-motion,5,10,34,5
ant,has_antennae,external_component,visual-form_and_surface,5,10,28,4
apartment,used_for_living_in,function,function,20,1,54,4
apartment,has_bedrooms,internal_component,visual-form_and_surface,17,2,22,2
apartment,found_in_buildings,location,encyclopaedic,16,3,38,3
apartment,requires_rent,contingency,encyclopaedic,14,4,14,1
apartment,has_a_kitchen,internal_component,visual-form_and_surface,11,5,16,2
apartment,is_small,external_surface_property,visual-form_and_surface,11,5,1229,121
apartment,has_a_bathroom,internal_component,visual-form_and_surface,9,7,9,1
apartment,has_a_bedroom,internal_component,visual-form_and_surface,9,7,9,1
apartment,has_tenants,associated_entity,encyclopaedic,9,7,9,1
apartment,associated_with_2_bedrooms,associated_entity,encyclopaedic,8,10,8,1
apartment,is_furnished,systemic_property,encyclopaedic,8,10,8,1
apartment,requires_a_landlord,contingency,encyclopaedic,8,10,8,1
apartment,a_house,superordinate,taxonomic,7,13,,6
apartment,has_a_balcony,external_component,visual-form_and_surface,7,13,7,1
apartment,made_of_brick,made_of,visual-form_and_surface,6,15,50,5
apartment,found_in_high-rises,location,encyclopaedic,5,16,5,1
apartment,has_elevators,associated_entity,encyclopaedic,5,16,20,2
apartment,has_windows,external_component,visual-form_and_surface,5,16,76,9
apple,is_red,external_surface_property,visual-colour,26,1,382,26
apple,a_fruit,superordinate,taxonomic,24,2,,29
apple,grows_on_trees,origin,encyclopaedic,20,3,223,19
apple,is_green,external_surface_property,visual-colour,17,4,834,47
apple,eaten_in_pies,function,function,11,5,69,5
apple,is_crunchy,internal_surface_property,tactile,11,5,120,11
apple,has_seeds,internal_component,visual-form_and_surface,10,7,251,21
apple,is_juicy,internal_surface_property,tactile,10,7,230,21
apple,tastes_sweet,internal_surface_property,taste,10,7,320,24
apple,is_round,external_surface_property,visual-form_and_surface,8,10,823,76
apple,is_delicious,internal_surface_property,taste,7,11,13,2
apple,is_nutritious,systemic_property,encyclopaedic,7,11,115,15
apple,is_yellow,external_surface_property,visual-colour,7,11,345,27
apple,has_a_core,internal_component,visual-form_and_surface,6,14,12,2
apple,has_skin,external_component,visual-form_and_surface,6,14,131,16
apple,tastes_sour,internal_surface_property,taste,6,14,85,8
apple,used_for_cider,function,function,6,14,6,1
apple,eg_-_granny_smith,subordinate,taxonomic,5,18,,1
apple,is_worm_infested,associated_entity,encyclopaedic,5,18,5,1
apron,used_for_cooking,function,function,21,1,232,13
apron,worn_for_protection,function,function,16,2,118,8
apron,made_of_cloth,made_of,visual-form_and_surface,11,3,33,4
apron,has_strings,external_component,visual-form_and_surface,10,4,173,9
apron,worn_for_covering_clothes,function,function,10,4,10,1
apron,worn_in_kitchens,location,encyclopaedic,10,4,10,1
apron,worn_around_neck,function,function,7,7,85,6
apron,made_of_cotton,made_of,visual-form_and_surface,6,8,88,12
apron,worn_around_waist,function,function,6,8,15,2
apron,is_long,external_surface_property,visual-form_and_surface,5,10,844,81
apron,used_for_cleaning,function,function,5,10,52,5
apron,worn_by_cooks,participant,function,5,10,5,1
apron,worn_by_women,participant,function,5,10,232,18
armour,worn_for_protection,function,function,27,1,118,8
armour,made_of_metal,made_of,visual-form_and_surface,24,2,1472,133
armour,worn_by_knights,participant,function,22,3,22,1
armour,is_heavy,systemic_property,tactile,12,4,253,27
armour,is_medieval,time,encyclopaedic,12,4,26,3
armour,is_shiny,external_surface_property,visual-form_and_surface,8,6,106,15
armour,is_silver,external_surface_property,visual-colour,7,7,56,8
armour,is_strong,systemic_property,encyclopaedic,5,8,73,8
armour,used_for_covering_body,function,function,5,8,5,1
armour,used_long_ago,time,encyclopaedic,5,8,21,3
armour,worn_for_fighting,function,function,5,8,5,1
ashtray,used_for_ashes,function,function,19,1,42,2
ashtray,made_of_glass,made_of,visual-form_and_surface,13,2,171,14
ashtray,used_for_cigarettes,function,function,12,3,12,1
ashtray,has_holders,external_component,visual-form_and_surface,11,4,11,1
ashtray,is_dirty,external_surface_property,visual-form_and_surface,9,5,83,10
ashtray,is_smelly,external_surface_property,smell,9,5,142,16
ashtray,used_by_smokers,participant,function,9,5,9,1
ashtray,is_round,external_surface_property,visual-form_and_surface,8,8,823,76
ashtray,found_in_houses,location,encyclopaedic,6,9,83,11
ashtray,made_of_plastic,made_of,visual-form_and_surface,6,9,446,51
ashtray,used_for_butts,function,function,6,9,6,1
asparagus,a_vegetable,superordinate,taxonomic,26,1,,28
asparagus,is_green,external_surface_property,visual-colour,25,2,834,47
asparagus,is_long,external_surface_property,visual-form_and_surface,14,3,844,81
asparagus,is_edible,function,function,12,4,890,78
asparagus,grows_in_gardens,location,encyclopaedic,11,5,144,18
asparagus,is_healthy,systemic_property,encyclopaedic,7,6,24,3
asparagus,eaten_by_cooking,action,function,5,7,100,15
asparagus,eaten_in_soups,function,function,5,7,29,5
asparagus,tastes_bad,internal_surface_property,taste,5,7,20,3
avocado,is_green,external_surface_property,visual-colour,19,1,834,47
avocado,a_fruit,superordinate,taxonomic,17,2,,29
avocado,is_edible,function,function,11,3,890,78
avocado,a_vegetable,superordinate,taxonomic,8,4,,28
avocado,has_seeds,internal_component,visual-form_and_surface,7,5,251,21
avocado,used_for_making_guacamole,function,function,7,5,7,1
avocado,has_a_large_pit,internal_component,visual-form_and_surface,6,7,11,2
avocado,is_high_in_fat,internal_component,encyclopaedic,6,7,6,1
avocado,tastes_good,internal_surface_property,taste,6,7,235,33
avocado,is_soft,external_surface_property,tactile,5,10,239,27
axe,used_for_chopping,function,function,29,1,37,2
axe,used_for_chopping_wood,function,function,27,2,27,1
axe,has_a_handle,external_component,visual-form_and_surface,23,3,508,42
axe,is_sharp,external_surface_property,tactile,18,4,281,18
axe,a_tool,superordinate,taxonomic,15,5,,18
axe,has_a_wooden_handle,external_component,visual-form_and_surface,13,6,67,7
axe,used_by_lumberjacks,participant,function,13,6,13,1
axe,is_heavy,systemic_property,tactile,12,8,253,27
axe,has_a_blade,external_component,visual-form_and_surface,11,9,69,6
axe,is_dangerous,systemic_property,encyclopaedic,11,9,316,37
axe,has_a_head,external_component,visual-form_and_surface,9,11,82,7
axe,used_for_cutting,function,function,9,11,122,9
axe,used_for_killing,function,function,8,13,233,20
axe,has_a_metal_blade,external_component,visual-form_and_surface,6,14,14,2
axe,a_weapon,superordinate,taxonomic,5,15,,29
axe,used_in_movies/Jason,function,function,5,15,5,1
bag,made_of_plastic,made_of,visual-form_and_surface,22,1,446,51
bag,made_of_paper,made_of,visual-form_and_surface,14,2,119,10
bag,used_for_carrying_things,function,function,14,2,86,8
bag,has_handles,external_component,visual-form_and_surface,12,4,73,7
bag,different_sizes,external_surface_property,visual-form_and_surface,10,5,135,19
bag,is_breakable,systemic_property,encyclopaedic,8,6,90,10
bag,different_colours,external_surface_property,visual-colour,7,7,460,58
bag,used_for_holding_things,function,function,6,8,161,14
bag,found_in_grocery_stores,location,encyclopaedic,5,9,5,1
bag,is_useful,evaluation,encyclopaedic,5,9,32,6
bag,made_of_material,made_of,visual-form_and_surface,5,9,154,18
bag,used_for_carrying_groceries,function,function,5,9,5,1
bagpipe,a_musical_instrument,superordinate,taxonomic,30,1,,18
bagpipe,associated_with_Scotland,associated_entity,encyclopaedic,24,2,24,1
bagpipe,used_for_music,function,function,14,3,70,6
bagpipe,requires_air,contingency,encyclopaedic,13,4,49,4
bagpipe,has_pipes,external_component,visual-form_and_surface,12,5,23,3
bagpipe,has_a_bag,external_component,visual-form_and_surface,10,6,10,1
bagpipe,is_loud,external_surface_property,sound,7,7,317,34
bagpipe,is_plaid,external_surface_property,visual-colour,6,8,6,1
bagpipe,used_in_marching_bands,function,function,6,8,12,2
ball,used_by_bouncing,action,function,19,1,19,1
ball,is_round,external_surface_property,visual-form_and_surface,17,2,823,76
ball,used_for_sports,function,function,13,3,60,7
ball,used_by_throwing,action,function,8,4,81,7
ball,used_for_playing,function,function,8,4,62,5
ball,different_colours,external_surface_property,visual-colour,6,6,460,58
ball,is_fun,evaluation,encyclopaedic,6,6,63,7
ball,is_hard,external_surface_property,tactile,5,8,211,22
ball,used_for_games,function,function,5,8,24,3
balloon,requires_helium,contingency,encyclopaedic,18,1,18,1
balloon,inbeh_-_floats,entity_behavior,visual-motion,16,2,92,7
balloon,requires_air,contingency,encyclopaedic,15,3,49,4
balloon,different_colours,external_surface_property,visual-colour,14,4,460,58
balloon,is_round,external_surface_property,visual-form_and_surface,13,5,823,76
balloon,used_at_parties,time,encyclopaedic,12,6,12,1
balloon,inbeh_-_bursts,entity_behavior,sound,11,7,11,1
balloon,inbeh_-_expands,entity_behavior,visual-motion,8,8,8,1
balloon,requires_hot_air,contingency,encyclopaedic,8,8,8,1
balloon,inbeh_-_produces_a_loud_noise_when_popped,action,sound,7,10,7,1
balloon,associated_with_hot_air_balloons,associated_entity,encyclopaedic,6,11,6,1
balloon,is_large,external_surface_property,visual-form_and_surface,6,11,1076,106
balloon,is_light_weight,external_surface_property,tactile,6,11,6,1
balloon,made_of_rubber,made_of,visual-form_and_surface,6,11,62,7
balloon,is_colourful,external_surface_property,visual-colour,5,15,159,19
balloon,made_of_plastic,made_of,visual-form_and_surface,5,15,446,51
balloon,used_by_children,participant,function,5,15,166,13
balloon,used_by_clowns,participant,function,5,15,13,2
banana,is_yellow,external_surface_property,visual-colour,29,1,345,27
banana,a_fruit,superordinate,taxonomic,25,2,,29
banana,is_edible,function,function,13,3,890,78
banana,is_soft,external_surface_property,tactile,12,4,239,27
banana,grows_on_trees,origin,encyclopaedic,11,5,223,19
banana,eaten_by_peeling,action,function,10,6,32,4
banana,eaten_by_monkeys,participant,function,9,7,9,1
banana,is_long,external_surface_property,visual-form_and_surface,9,7,844,81
banana,tastes_good,internal_surface_property,taste,9,7,235,33
banana,grows_in_tropical_climates,location,encyclopaedic,7,10,7,1
banana,has_peel,external_component,visual-form_and_surface,7,10,43,6
banana,is_green,external_surface_property,visual-colour,7,10,834,47
banana,is_healthy,systemic_property,encyclopaedic,6,13,24,3
banana,has_a_skin,external_component,visual-form_and_surface,5,14,19,3
banana,is_round,external_surface_property,visual-form_and_surface,5,14,823,76
banjo,has_strings,external_component,visual-form_and_surface,24,1,173,9
banjo,a_musical_instrument,superordinate,taxonomic,23,2,,18
banjo,made_of_wood,made_of,visual-form_and_surface,18,3,1091,79
banjo,used_for_music,function,function,12,4,70,6
banjo,inbeh_-_produces_music,entity_behavior,sound,11,5,178,13
banjo,used_in_bands,function,function,9,6,83,9
banjo,is_round,external_surface_property,visual-form_and_surface,8,7,823,76
banjo,like_a_guitar,cognitive_operation,encyclopaedic,8,7,8,1
banjo,inbeh_-_produces_sound,entity_behavior,sound,7,9,41,4
banjo,used_by_playing,action,function,7,9,7,1
banjo,has_a_neck,external_component,visual-form_and_surface,5,11,46,5
banjo,used_by_musicians,participant,function,5,11,5,1
banner,made_of_paper,made_of,visual-form_and_surface,14,1,119,10
banner,has_words_on_it,external_surface_property,visual-form_and_surface,10,2,16,2
banner,used_by_hanging,action,function,10,2,39,4
banner,has_a_message,external_surface_property,visual-form_and_surface,9,4,22,3
banner,is_long,external_surface_property,visual-form_and_surface,8,5,844,81
banner,is_large,external_surface_property,visual-form_and_surface,6,6,1076,106
banner,used_for_advertising,function,function,6,6,6,1
banner,used_for_celebrating,function,function,6,6,6,1
banner,a_sign,coordinate,taxonomic,5,9,,1
banner,is_colourful,external_surface_property,visual-colour,5,9,159,19
banner,is_rectangular,external_surface_property,visual-form_and_surface,5,9,68,10
banner,made_of_plastic,made_of,visual-form_and_surface,5,9,446,51
banner,used_for_events,time,encyclopaedic,5,9,5,1
barn,used_for_storage,function,function,28,1,374,18
barn,found_on_farms,location,encyclopaedic,24,2,24,1
barn,used_for_animals,function,function,23,3,23,1
barn,made_of_wood,made_of,visual-form_and_surface,22,4,1091,79
barn,used_for_storing_hay,function,function,20,5,20,1
barn,is_large,external_surface_property,visual-form_and_surface,13,6,1076,106
barn,is_red,external_surface_property,visual-colour,12,7,382,26
barn,a_building,superordinate,taxonomic,10,8,,6
barn,found_in_the_country,location,encyclopaedic,10,8,27,3
barn,has_a_hay_loft,internal_component,visual-form_and_surface,10,8,10,1
barn,used_for_storing_farm_equipment,function,function,9,11,9,1
barn,is_smelly,external_surface_property,smell,8,12,142,16
barn,is_dirty,external_surface_property,visual-form_and_surface,7,13,83,10
barn,has_doors,external_component,visual-form_and_surface,6,14,163,15
barn,used_for_cows,function,function,6,14,6,1
barn,has_stalls,internal_component,visual-form_and_surface,5,16,5,1
barn,used_for_storing_tractors,function,function,5,16,5,1
barrel,made_of_wood,made_of,visual-form_and_surface,27,1,1091,79
barrel,is_round,external_surface_property,visual-form_and_surface,18,2,823,76
barrel,used_for_storage,function,function,9,3,374,18
barrel,a_container,superordinate,taxonomic,8,4,,5
barrel,is_brown,external_surface_property,visual-colour,8,4,480,54
barrel,used_for_storing_beer,function,function,8,4,8,1
barrel,is_large,external_surface_property,visual-form_and_surface,7,7,1076,106
barrel,used_for_storing_wine,function,function,7,7,17,2
barrel,has_a_lid,external_component,visual-form_and_surface,5,9,74,6
barrel,has_metal_bands,external_component,visual-form_and_surface,5,9,5,1
barrel,used_for_storing_water,function,function,5,9,5,1
basement,used_for_storage,function,function,21,1,374,18
basement,found_below_ground,location,encyclopaedic,17,2,17,1
basement,is_cold,internal_surface_property,tactile,16,3,95,6
basement,found_on_the_bottom_floor,location,encyclopaedic,15,4,15,1
basement,is_dark,internal_surface_property,visual-form_and_surface,13,5,52,4
basement,is_damp,internal_surface_property,tactile,12,6,24,2
basement,made_of_cement,made_of,visual-form_and_surface,9,7,27,4
basement,part_of_a_house,larger_whole,encyclopaedic,9,7,27,2
basement,has_windows,external_component,visual-form_and_surface,7,9,76,9
basement,has_a_furnace,internal_component,visual-form_and_surface,6,10,6,1
basement,has_a_foundation,external_component,visual-form_and_surface,5,11,5,1
basement,has_stairways,internal_component,visual-form_and_surface,5,11,5,1
basement,has_walls,internal_component,visual-form_and_surface,5,11,19,3
basement,is_musty,internal_surface_property,smell,5,11,5,1
basement,is_scary,affect_emotion,encyclopaedic,5,11,24,4
basement,is_the_lowest_floor,location,encyclopaedic,5,11,5,1
basket,is_weaved,origin,encyclopaedic,18,1,18,1
basket,used_for_holding_things,function,function,18,1,161,14
basket,has_a_handle,external_component,visual-form_and_surface,17,3,508,42
basket,made_of_wicker,made_of,visual-form_and_surface,10,4,10,1
basket,made_of_wood,made_of,visual-form_and_surface,9,5,1091,79
basket,used_at_Easter,time,encyclopaedic,7,6,7,1
basket,used_by_carrying,action,function,6,7,6,1
basket,used_for_picnics,function,function,6,7,6,1
basket,used_for_fruit,function,function,5,9,5,1
bat_(animal),has_wings,external_component,visual-form_and_surface,26,1,529,44
bat_(animal),beh_-_flies,entity_behavior,visual-motion,19,2,712,46
bat_(animal),beh_-_is_nocturnal,entity_behavior,encyclopaedic,19,2,55,3
bat_(animal),is_black,external_surface_property,visual-colour,16,4,607,50
bat_(animal),lives_in_caves,location,encyclopaedic,14,5,14,1
bat_(animal),has_fur,external_component,visual-form_and_surface,11,6,264,22
bat_(animal),an_animal,superordinate,taxonomic,10,7,,99
bat_(animal),beh_-_sleeps_upside_down,entity_behavior,encyclopaedic,10,7,10,1
bat_(animal),is_blind,systemic_property,encyclopaedic,10,7,10,1
bat_(animal),beh_-_uses_radar_to_navigate,entity_behavior,encyclopaedic,9,10,9,1
bat_(animal),beh_-_screeches,entity_behavior,sound,8,11,8,1
bat_(animal),a_mammal,superordinate,taxonomic,7,12,,42
bat_(animal),has_fangs,external_component,visual-form_and_surface,7,12,19,3
bat_(animal),is_scary,affect_emotion,encyclopaedic,6,14,24,4
bat_(animal),is_small,external_surface_property,visual-form_and_surface,6,14,1229,121
bat_(animal),associated_with_vampires,associated_entity,encyclopaedic,5,16,5,1
bat_(baseball),made_of_wood,made_of,visual-form_and_surface,22,1,1091,79
bat_(baseball),used_for_hitting_balls,function,function,18,2,18,1
bat_(baseball),made_of_metal,made_of,visual-form_and_surface,16,3,1472,133
bat_(baseball),is_long,external_surface_property,visual-form_and_surface,15,4,844,81
bat_(baseball),used_for_hitting,function,function,11,5,11,1
bat_(baseball),used_for_sports,function,function,7,6,60,7
bat_(baseball),used_by_swinging,action,function,6,7,6,1
bat_(baseball),is_heavy,systemic_property,tactile,5,8,253,27
bathtub,found_in_bathrooms,location,encyclopaedic,14,1,103,10
bathtub,used_for_bathing,function,function,12,2,12,1
bathtub,used_for_holding_water,function,function,12,2,50,5
bathtub,is_white,external_surface_property,visual-colour,9,4,634,51
bathtub,has_taps,associated_entity,encyclopaedic,8,5,32,3
bathtub,used_by_filling,action,function,8,5,8,1
bathtub,used_for_washing,function,function,8,5,35,2
bathtub,used_for_bubble_baths,function,function,7,8,7,1
bathtub,has_a_drain,external_component,visual-form_and_surface,6,9,21,2
bathtub,has_a_drain_plug,associated_entity,encyclopaedic,6,9,14,2
bathtub,requires_water,contingency,encyclopaedic,6,9,16,2
bathtub,is_hard,external_surface_property,tactile,5,12,211,22
bathtub,is_large,external_surface_property,visual-form_and_surface,5,12,1076,106
bathtub,made_of_ceramic,made_of,visual-form_and_surface,5,12,51,7
bathtub,used_by_people,participant,function,5,12,64,10
bathtub,used_for_showers,function,function,5,12,5,1
baton,is_long,external_surface_property,visual-form_and_surface,15,1,844,81
baton,is_round,external_surface_property,visual-form_and_surface,13,2,823,76
baton,like_a_stick,cognitive_operation,encyclopaedic,10,3,10,1
baton,made_of_metal,made_of,visual-form_and_surface,10,3,1472,133
baton,used_by_twirling,action,function,10,3,10,1
baton,used_by_throwing_in_air,action,function,9,6,9,1
baton,made_of_wood,made_of,visual-form_and_surface,7,7,1091,79
baton,used_in_relay_races,function,function,7,7,7,1
baton,used_by_cheerleaders,participant,function,6,9,6,1
baton,used_in_marching_bands,function,function,6,9,12,2
bayonet,used_in_wars,time,encyclopaedic,8,1,27,2
bayonet,used_for_killing,function,function,7,2,233,20
bayonet,is_dangerous,systemic_property,encyclopaedic,6,3,316,37
bayonet,a_long_knife,coordinate,taxonomic,5,4,,1
bayonet,found_at_the_end_of_a_gun,location,encyclopaedic,5,4,5,1
bayonet,is_long,external_surface_property,visual-form_and_surface,5,4,844,81
bayonet,is_sharp,external_surface_property,tactile,5,4,281,18
bazooka,a_gun,superordinate,taxonomic,15,1,,6
bazooka,inbeh_-_fires,entity_behavior,sound,11,2,97,5
bazooka,used_for_war,function,function,11,2,130,12
bazooka,is_dangerous,systemic_property,encyclopaedic,9,4,316,37
bazooka,is_destructive,evaluation,encyclopaedic,8,5,30,3
bazooka,made_of_metal,made_of,visual-form_and_surface,8,5,1472,133
bazooka,a_weapon,superordinate,taxonomic,7,7,,29
bazooka,used_for_killing,function,function,7,7,233,20
bazooka,is_large,external_surface_property,visual-form_and_surface,6,9,1076,106
bazooka,is_loud,external_surface_property,sound,6,9,317,34
bazooka,used_by_the_army,participant,function,6,9,25,3
beans,a_vegetable,superordinate,taxonomic,20,1,,28
beans,is_green,external_surface_property,visual-colour,18,2,834,47
beans,is_edible,function,function,12,3,890,78
beans,causes_gas,contingency,encyclopaedic,9,4,9,1
beans,is_brown,external_surface_property,visual-colour,9,4,480,54
beans,eg_-_kidney,subordinate,taxonomic,8,6,,1
beans,is_yellow,external_surface_property,visual-colour,8,6,345,27
beans,eg_-_lima,subordinate,taxonomic,7,8,,1
beans,eaten_by_cooking,action,function,6,9,100,15
beans,is_small,external_surface_property,visual-form_and_surface,6,9,1229,121
beans,eaten_by_baking,action,function,5,11,58,6
beans,grows_in_gardens,location,encyclopaedic,5,11,144,18
beans,has_pods,external_component,visual-form_and_surface,5,11,5,1
beans,has_protein,internal_component,encyclopaedic,5,11,5,1
beans,is_nutritious,systemic_property,encyclopaedic,5,11,115,15
bear,is_large,external_surface_property,visual-form_and_surface,23,1,1076,106
bear,has_fur,external_component,visual-form_and_surface,20,2,264,22
bear,an_animal,superordinate,taxonomic,19,3,,99
bear,has_claws,external_component,visual-form_and_surface,15,4,99,10
bear,is_black,external_surface_property,visual-colour,14,5,607,50
bear,is_brown,external_surface_property,visual-colour,13,6,480,54
bear,beh_-_eats_fish,entity_behavior,visual-motion,9,7,83,7
bear,is_white,external_surface_property,visual-colour,9,7,634,51
bear,a_mammal,superordinate,taxonomic,8,9,,42
bear,beh_-_hibernates,entity_behavior,encyclopaedic,8,9,20,3
bear,has_feet,external_component,visual-form_and_surface,8,9,91,10
bear,hunted_by_people,participant,function,8,9,267,27
bear,has_teeth,internal_component,visual-form_and_surface,7,13,144,14
bear,lives_in_wilderness,location,encyclopaedic,7,13,66,9
bear,beh_-_produces_offspring,entity_behavior,encyclopaedic,6,15,22,4
bear,lives_in_forests,location,encyclopaedic,6,15,68,9
bear,has_4_legs,external_component,visual-form_and_surface,5,17,468,49
bear,has_paws,external_component,visual-form_and_surface,5,17,11,2
bear,is_dangerous,systemic_property,encyclopaedic,5,17,316,37
beaver,has_a_tail,external_component,visual-form_and_surface,24,1,379,39
beaver,has_sharp_teeth,internal_component,visual-form_and_surface,24,1,39,3
beaver,beh_-_builds_dams,entity_behavior,encyclopaedic,20,3,20,1
beaver,beh_-_swims,entity_behavior,visual-motion,20,3,411,33
beaver,is_brown,external_surface_property,visual-colour,19,5,480,54
beaver,an_animal,superordinate,taxonomic,18,6,,99
beaver,is_furry,external_surface_property,tactile,18,6,211,20
beaver,lives_in_water,location,encyclopaedic,10,8,394,32
beaver,symbol_of_Canada,systemic_property,encyclopaedic,10,8,10,1
beaver,beh_-_cuts_down_trees,entity_behavior,encyclopaedic,7,10,7,1
beaver,hunted_by_people,participant,function,7,10,267,27
beaver,a_mammal,superordinate,taxonomic,6,12,,42
beaver,found_on_the_nickel,location,encyclopaedic,6,12,6,1
beaver,beh_-_chews_on_wood,entity_behavior,visual-motion,5,14,5,1
beaver,lives_in_dams,location,encyclopaedic,5,14,5,1
bed,used_for_sleeping,function,function,27,1,68,5
bed,has_a_mattress,external_component,visual-form_and_surface,18,2,18,1
bed,has_pillows,associated_entity,encyclopaedic,14,3,26,3
bed,is_soft,external_surface_property,tactile,13,4,239,27
bed,found_in_bedrooms,location,encyclopaedic,11,5,60,5
bed,has_sheets,associated_entity,encyclopaedic,11,5,11,1
bed,is_comfortable,evaluation,tactile,11,5,171,15
bed,has_blankets,associated_entity,encyclopaedic,8,8,8,1
bed,used_for_sex,function,function,8,8,16,2
bed,different_sizes,external_surface_property,visual-form_and_surface,7,10,135,19
bed,has_springs,internal_component,visual-form_and_surface,7,10,7,1
bed,furniture,superordinate,taxonomic,6,12,,11
bed,has_a_box_spring,external_component,visual-form_and_surface,5,13,5,1
